omega (eV),epsilon 1,epsilon 2,n,k,alpha (1/m)
1.72E+00,1.01E+01,0,3.17538,0,0
1.73E+00,1.01E+01,0,3.17702,0,0
1.74E+00,1.01E+01,0,3.17867,0,0
1.75E+00,1.01E+01,0,3.18033,0,0
1.76E+00,1.01E+01,0,3.18201,0,0
1.77E+00,1.01E+01,0,3.18369,0,0
1.78E+00,1.01E+01,0,3.1854,0,0
1.79E+00,1.02E+01,0,3.18711,0,0
1.80E+00,1.02E+01,0,3.18884,0,0
1.81E+00,1.02E+01,0,3.19058,0,0
1.82E+00,1.02E+01,0,3.19234,0,0
1.83E+00,1.02E+01,0,3.19411,0,0
1.84E+00,1.02E+01,0,3.19589,0,0
1.85E+00,1.02E+01,0,3.19769,0,0
1.86E+00,1.02E+01,0,3.1995,0,0
1.87E+00,1.02E+01,0,3.20133,0,0
1.88E+00,1.03E+01,0,3.20317,0,0
1.89E+00,1.03E+01,0,3.20502,0,0
1.90E+00,1.03E+01,0,3.20689,0,0
1.91E+00,1.03E+01,0,3.20877,0,0
1.92E+00,1.03E+01,0,3.21067,0,0
1.93E+00,1.03E+01,0,3.21259,0,0
1.94E+00,1.03E+01,0,3.21451,0,0
1.95E+00,1.03E+01,0,3.21645,0,0
1.96E+00,1.04E+01,0,3.21841,0,0
1.97E+00,1.04E+01,0,3.22038,0,0
1.98E+00,1.04E+01,0,3.22237,0,0
1.99E+00,1.04E+01,0,3.22437,0,0
2.00E+00,1.04E+01,0,3.22639,0,0
2.01E+00,1.04E+01,0,3.22842,0,0
2.02E+00,1.04E+01,0,3.23047,0,0
2.03E+00,1.04E+01,0,3.23254,0,0
2.04E+00,1.05E+01,0,3.23462,0,0
2.05E+00,1.05E+01,0,3.23671,0,0
2.06E+00,1.05E+01,0,3.23883,0,0
2.07E+00,1.05E+01,0,3.24096,0,0
2.08E+00,1.05E+01,0,3.2431,0,0
2.09E+00,1.05E+01,0,3.24526,0,0
2.10E+00,1.05E+01,0,3.24744,0,0
2.11E+00,1.06E+01,0,3.24963,0,0
2.12E+00,1.06E+01,0,3.25184,0,0
2.13E+00,1.06E+01,0,3.25407,0,0
2.14E+00,1.06E+01,0,3.25632,0,0
2.15E+00,1.06E+01,0,3.25858,0,0
2.16E+00,1.06E+01,0,3.26086,0,0
2.17E+00,1.06E+01,0,3.26315,0,0
2.18E+00,1.07E+01,0,3.26547,0,0
2.19E+00,1.07E+01,0,3.2678,0,0
2.20E+00,1.07E+01,0,3.27015,0,0
2.21E+00,1.07E+01,0,3.27252,0,0
2.22E+00,1.07E+01,0,3.2749,0,0
2.23E+00,1.07E+01,0,3.27731,0,0
2.24E+00,1.08E+01,0,3.27973,0,0
2.25E+00,1.08E+01,0,3.28217,0,0
2.26E+00,1.08E+01,0,3.28463,0,0
2.27E+00,1.08E+01,0,3.28711,0,0
2.28E+00,1.08E+01,0,3.2896,0,0
2.29E+00,1.08E+01,0,3.29212,0,0
2.30E+00,1.09E+01,0,3.29465,0,0
2.31E+00,1.09E+01,0,3.29721,0,0
2.32E+00,1.09E+01,0,3.29978,0,0
2.33E+00,1.09E+01,0,3.30238,0,0
2.34E+00,1.09E+01,0,3.30499,0,0
2.35E+00,1.09E+01,0,3.30763,0,0
2.36E+00,1.10E+01,0,3.31028,0,0
2.37E+00,1.10E+01,0,3.31295,0,0
2.38E+00,1.10E+01,0,3.31565,0,0
2.39E+00,1.10E+01,0,3.31837,0,0
2.40E+00,1.10E+01,0,3.3211,0,0
2.41E+00,1.10E+01,0,3.32386,0,0
2.42E+00,1.11E+01,0,3.32664,0,0
2.43E+00,1.11E+01,0,3.32944,0,0
2.44E+00,1.11E+01,0,3.33227,0,0
2.45E+00,1.11E+01,0,3.33511,0,0
2.46E+00,1.11E+01,0,3.33798,0,0
2.47E+00,1.12E+01,0,3.34087,0,0
2.48E+00,1.12E+01,0,3.34378,0,0
2.49E+00,1.12E+01,0,3.34672,0,0
2.50E+00,1.12E+01,0,3.34968,0,0
2.51E+00,1.12E+01,0,3.35266,0,0
2.52E+00,1.13E+01,0,3.35566,0,0
2.53E+00,1.13E+01,0,3.35869,0,0
2.54E+00,1.13E+01,0,3.36174,0,0
2.55E+00,1.13E+01,0,3.36482,0,0
2.56E+00,1.13E+01,0,3.36792,0,0
2.57E+00,1.14E+01,0,3.37105,0,0
2.58E+00,1.14E+01,0,3.3742,0,0
2.59E+00,1.14E+01,0,3.37737,0,0
2.60E+00,1.14E+01,0,3.38057,0,0
2.61E+00,1.15E+01,0,3.3838,0,0
2.62E+00,1.15E+01,0,3.38705,0,0
2.63E+00,1.15E+01,0,3.39033,0,0
2.64E+00,1.15E+01,0,3.39364,0,0
2.65E+00,1.15E+01,0,3.39697,0,0
2.66E+00,1.16E+01,0,3.40033,0,0
2.67E+00,1.16E+01,0,3.40371,0,0
2.68E+00,1.16E+01,0,3.40713,0,0
2.69E+00,1.16E+01,0,3.41057,0,0
2.70E+00,1.17E+01,0,3.41404,0,0
2.71E+00,1.17E+01,0,3.41754,0,0
2.72E+00,1.17E+01,0,3.42106,0,0
2.73E+00,1.17E+01,0,3.42462,0,0
2.74E+00,1.18E+01,0,3.42821,0,0
2.75E+00,1.18E+01,0,3.43182,0,0
2.76E+00,1.18E+01,0,3.43547,0,0
2.77E+00,1.18E+01,0,3.43914,0,0
2.78E+00,1.19E+01,0,3.44285,0,0
2.79E+00,1.19E+01,0,3.44659,0,0
2.80E+00,1.19E+01,0,3.45036,0,0
2.81E+00,1.19E+01,0,3.45416,0,0
2.82E+00,1.20E+01,0,3.45799,0,0
2.83E+00,1.20E+01,0,3.46186,0,0
2.84E+00,1.20E+01,0,3.46576,0,0
2.85E+00,1.20E+01,0,3.46969,0,0
2.86E+00,1.21E+01,0,3.47366,0,0
2.87E+00,1.21E+01,0,3.47766,0,0
2.88E+00,1.21E+01,0,3.4817,0,0
2.89E+00,1.22E+01,0,3.48577,0,0
2.90E+00,1.22E+01,0,3.48988,0,0
2.91E+00,1.22E+01,0,3.49402,0,0
2.92E+00,1.22E+01,0,3.4982,0,0
2.93E+00,1.23E+01,0,3.50242,0,0
2.94E+00,1.23E+01,0,3.50667,0,0
2.95E+00,1.23E+01,0,3.51097,0,0
2.96E+00,1.24E+01,0,3.5153,0,0
2.97E+00,1.24E+01,0.000000001,3.51967,0,0
2.98E+00,1.24E+01,0.000000001,3.52408,0,0
2.99E+00,1.25E+01,0.000000001,3.52853,0,0
3.00E+00,1.25E+01,0.000000002,3.53302,0,0
3.01E+00,1.25E+01,0.000000002,3.53755,0,0
3.02E+00,1.25E+01,0.000000003,3.54213,0,0
3.03E+00,1.26E+01,0.000000004,3.54675,0,0
3.04E+00,1.26E+01,0.000000006,3.55141,0,0
3.05E+00,1.26E+01,0.000000008,3.55611,0,0
3.06E+00,1.27E+01,0.000000011,3.56086,0,0
3.07E+00,1.27E+01,0.000000014,3.56565,0,0
3.08E+00,1.27E+01,0.00000002,3.57049,0,0
3.09E+00,1.28E+01,0.000000026,3.57538,0,0
3.10E+00,1.28E+01,0.000000035,3.58032,0,0
3.11E+00,1.29E+01,0.000000048,3.5853,0,0
3.12E+00,1.29E+01,0.000000064,3.59033,0,0
3.13E+00,1.29E+01,0.000000085,3.59541,0,0
3.14E+00,1.30E+01,0.000000113,3.60054,0,0
3.15E+00,1.30E+01,0.000000151,3.60572,0,0
3.16E+00,1.30E+01,0.0000002,3.61095,0,0
3.17E+00,1.31E+01,0.000000264,3.61624,2.98E-08,0.95753
3.18E+00,1.31E+01,0.000000349,3.62158,4.21E-08,1.35842
3.19E+00,1.32E+01,0.000000459,3.62698,6.66E-08,2.15461
3.20E+00,1.32E+01,0.000000603,3.63243,8.43E-08,2.73394
3.21E+00,1.32E+01,0.000000789,3.63793,1.07E-07,3.496
3.22E+00,1.33E+01,0.000001032,3.6435,1.40E-07,4.56205
3.23E+00,1.33E+01,0.000001345,3.64912,1.84E-07,6.01434
3.24E+00,1.34E+01,0.000001749,3.65481,2.38E-07,7.82942
3.25E+00,1.34E+01,0.00000227,3.66055,3.10E-07,10.2021
3.26E+00,1.34E+01,0.000002938,3.66636,4.01E-07,13.248
3.27E+00,1.35E+01,0.000003794,3.67223,5.16E-07,17.1081
3.28E+00,1.35E+01,0.000004887,3.67817,6.64E-07,22.0875
3.29E+00,1.36E+01,0.00000628,3.68417,8.52E-07,28.4227
3.30E+00,1.36E+01,0.000008052,3.69024,1.09E-06,36.4887
3.31E+00,1.37E+01,0.000010298,3.69638,1.39E-06,46.7248
3.32E+00,1.37E+01,0.00001314,3.70258,1.77E-06,59.7091
3.33E+00,1.38E+01,0.000016725,3.70886,2.25E-06,76.1006
3.34E+00,1.38E+01,0.000021239,3.71521,2.86E-06,96.7631
3.35E+00,1.39E+01,0.000026907,3.72164,3.61E-06,122.741
3.36E+00,1.39E+01,0.000034007,3.72815,4.56E-06,155.32
3.37E+00,1.39E+01,0.000042878,3.73473,5.74E-06,196.072
3.38E+00,1.40E+01,0.000053936,3.74139,7.21E-06,246.932
3.39E+00,1.40E+01,0.000067685,3.74813,9.03E-06,310.235
3.40E+00,1.41E+01,0.000084739,3.75496,1.13E-05,388.839
3.41E+00,1.42E+01,0.00010584,3.76187,1.41E-05,486.2
3.42E+00,1.42E+01,0.000131885,3.76888,1.75E-05,606.49
3.43E+00,1.43E+01,0.000163953,3.77597,2.17E-05,754.744
3.44E+00,1.43E+01,0.000203341,3.78316,2.69E-05,937.006
3.45E+00,1.44E+01,0.000251603,3.79044,3.32E-05,1160.54
3.46E+00,1.44E+01,0.000310591,3.79782,4.09E-05,1433.98
3.47E+00,1.45E+01,0.000382516,3.8053,5.03E-05,1767.68
3.48E+00,1.45E+01,0.00047,3.81288,6.16E-05,2173.89
3.49E+00,1.46E+01,0.000576151,3.82057,7.54E-05,2667.15
3.50E+00,1.47E+01,0.000704638,3.82837,9.20E-05,3264.63
3.51E+00,1.47E+01,0.000859784,3.83629,0.000112059,3986.55
3.52E+00,1.48E+01,0.001046666,3.84432,0.000136131,4856.72
3.53E+00,1.48E+01,0.00127123,3.85248,0.000164989,5903.01
3.54E+00,1.49E+01,0.00154042,3.86075,0.000199497,7157.86
3.55E+00,1.50E+01,0.001862324,3.86916,0.000240663,8659.27
3.56E+00,1.50E+01,0.002246334,3.8777,0.000289648,10451.1
3.57E+00,1.51E+01,0.002703326,3.88638,0.000347795,12584.5
3.58E+00,1.52E+01,0.003245857,3.8952,0.000416648,15118.1
3.59E+00,1.52E+01,0.003888388,3.90417,0.000497979,18119.6
3.60E+00,1.53E+01,0.004647515,3.91329,0.000593811,21666.8
3.61E+00,1.54E+01,0.005542239,3.92257,0.000706455,25848.5
3.62E+00,1.55E+01,0.006594244,3.93202,0.000838532,30766
3.63E+00,1.55E+01,0.007828206,3.94163,0.000993016,36534.8
3.64E+00,1.56E+01,0.009272122,3.95142,0.00117326,43285.2
3.65E+00,1.57E+01,0.010957661,3.9614,0.00138306,51165.5
3.66E+00,1.58E+01,0.012920539,3.97156,0.00162663,60341.1
3.67E+00,1.59E+01,0.015200913,3.98192,0.00190874,70999.7
3.68E+00,1.59E+01,0.017843795,3.99248,0.00223468,83350.2
3.69E+00,1.60E+01,0.020899486,4.00325,0.00261032,97625.6
3.70E+00,1.61E+01,0.024424016,4.01424,0.00304218,114085
3.71E+00,1.62E+01,0.028479605,4.02545,0.00353745,133017
3.72E+00,1.63E+01,0.033135125,4.03689,0.00410404,154738
3.73E+00,1.64E+01,0.03846656,4.04857,0.00475064,179599
3.74E+00,1.65E+01,0.044557475,4.06049,0.00548671,207983
3.75E+00,1.66E+01,0.051499456,4.07267,0.00632257,240308
3.76E+00,1.67E+01,0.059392551,4.08511,0.0072694,277032
3.77E+00,1.68E+01,0.068345671,4.09781,0.0083393,318650
3.78E+00,1.69E+01,0.078476958,4.11078,0.00954526,365698
3.79E+00,1.70E+01,0.08991412,4.12403,0.0109012,418752
3.80E+00,1.71E+01,0.102794692,4.13756,0.0124221,478434
3.81E+00,1.72E+01,0.117266247,4.15138,0.0141238,545406
3.82E+00,1.74E+01,0.133486525,4.16548,0.0160229,620366
3.83E+00,1.75E+01,0.151623465,4.17988,0.0181373,704069
3.84E+00,1.76E+01,0.171855149,4.19457,0.0204855,797299
3.85E+00,1.77E+01,0.194369624,4.20955,0.0230868,900882
3.86E+00,1.78E+01,0.219364604,4.22482,0.0259614,1.02E+06
3.87E+00,1.80E+01,0.247047035,4.24039,0.0291302,1.14E+06
3.88E+00,1.81E+01,0.277632515,4.25624,0.0326147,1.28E+06
3.89E+00,1.83E+01,0.311344557,4.27238,0.0364369,1.44E+06
3.90E+00,1.84E+01,0.348413693,4.28879,0.0406192,1.61E+06
3.91E+00,1.85E+01,0.389076406,4.30546,0.0451841,1.79E+06
3.92E+00,1.87E+01,0.433573883,4.32239,0.0501544,1.99E+06
3.93E+00,1.88E+01,0.482150604,4.33956,0.0555529,2.21E+06
3.94E+00,1.90E+01,0.535052743,4.35696,0.0614021,2.45E+06
3.95E+00,1.91E+01,0.592526404,4.37457,0.0677239,2.71E+06
3.96E+00,1.93E+01,0.654815681,4.39238,0.07454,2.99E+06
3.97E+00,1.94E+01,0.722160572,4.41035,0.0818711,3.29E+06
3.98E+00,1.96E+01,0.794794741,4.42848,0.0897367,3.62E+06
3.99E+00,1.98E+01,0.872943148,4.44673,0.0981556,3.97E+06
4.00E+00,1.99E+01,0.956819583,4.46508,0.107145,4.34E+06
4.01E+00,2.01E+01,1.046624098,4.4835,0.11672,4.74E+06
4.02E+00,2.03E+01,1.142540397,4.50196,0.126894,5.17E+06
4.03E+00,2.04E+01,1.244733191,4.52042,0.137679,5.62E+06
4.04E+00,2.06E+01,1.353345555,4.53887,0.149084,6.10E+06
4.05E+00,2.07E+01,1.468496345,4.55724,0.161117,6.61E+06
4.06E+00,2.09E+01,1.590277675,4.57553,0.173781,7.15E+06
4.07E+00,2.11E+01,1.718752538,4.59368,0.187078,7.72E+06
4.08E+00,2.12E+01,1.853952581,4.61165,0.201007,8.31E+06
4.09E+00,2.14E+01,1.995876095,4.62942,0.215564,8.94E+06
4.10E+00,2.15E+01,2.144486255,4.64695,0.230741,9.59E+06
4.11E+00,2.17E+01,2.299709657,4.66419,0.246529,1.03E+07
4.12E+00,2.18E+01,2.461435193,4.6811,0.262912,1.10E+07
4.13E+00,2.20E+01,2.629513296,4.69766,0.279875,1.17E+07
4.14E+00,2.21E+01,2.803755596,4.71382,0.297397,1.25E+07
4.15E+00,2.23E+01,2.983935021,4.72955,0.315457,1.33E+07
4.16E+00,2.24E+01,3.169786352,4.74482,0.334026,1.41E+07
4.17E+00,2.25E+01,3.36100727,4.7596,0.353077,1.49E+07
4.18E+00,2.27E+01,3.557259902,4.77385,0.372578,1.58E+07
4.19E+00,2.28E+01,3.758172854,4.78756,0.392494,1.67E+07
4.20E+00,2.29E+01,3.963343757,4.80069,0.412789,1.76E+07
4.21E+00,2.30E+01,4.172342286,4.81324,0.433424,1.85E+07
4.22E+00,2.31E+01,4.384713649,4.82517,0.454358,1.94E+07
4.23E+00,2.32E+01,4.599982508,4.83649,0.47555,2.04E+07
4.24E+00,2.32E+01,4.81765729,4.84717,0.496956,2.14E+07
4.25E+00,2.33E+01,5.037234854,4.85721,0.518532,2.23E+07
4.26E+00,2.34E+01,5.258205435,4.86661,0.540233,2.33E+07
4.27E+00,2.35E+01,5.480057823,4.87537,0.562014,2.43E+07
4.28E+00,2.35E+01,5.702284697,4.8835,0.583831,2.53E+07
4.29E+00,2.36E+01,5.924388032,4.89101,0.605641,2.63E+07
4.30E+00,2.36E+01,6.145884508,4.8979,0.6274,2.73E+07
4.31E+00,2.36E+01,6.366310832,4.90421,0.649066,2.84E+07
4.32E+00,2.37E+01,6.585228883,4.90994,0.670602,2.94E+07
4.33E+00,2.37E+01,6.802230607,4.91512,0.69197,3.04E+07
4.34E+00,2.37E+01,7.016942562,4.91979,0.713135,3.14E+07
4.35E+00,2.37E+01,7.22903004,4.92396,0.734066,3.24E+07
4.36E+00,2.37E+01,7.438200698,4.92769,0.754735,3.34E+07
4.37E+00,2.37E+01,7.644207612,4.93099,0.775118,3.43E+07
4.38E+00,2.37E+01,7.846851706,4.93392,0.795195,3.53E+07
4.39E+00,2.37E+01,8.045983509,4.9365,0.814948,3.63E+07
4.40E+00,2.37E+01,8.241504188,4.93879,0.834365,3.72E+07
4.41E+00,2.37E+01,8.433365838,4.94081,0.85344,3.81E+07
4.42E+00,2.37E+01,8.621571023,4.94262,0.872167,3.91E+07
4.43E+00,2.37E+01,8.806171549,4.94424,0.890548,4.00E+07
4.44E+00,2.36E+01,8.987266509,4.94573,0.908588,4.09E+07
4.45E+00,2.36E+01,9.164999602,4.94712,0.926296,4.18E+07
4.46E+00,2.36E+01,9.339555798,4.94845,0.943684,4.27E+07
4.47E+00,2.36E+01,9.511157375,4.94975,0.960771,4.35E+07
4.48E+00,2.36E+01,9.680059423,4.95106,0.977575,4.44E+07
4.49E+00,2.35E+01,9.846544879,4.95239,0.99412,4.52E+07
4.50E+00,2.35E+01,10.01091919,4.95378,1.01043,4.61E+07
4.51E+00,2.35E+01,10.17350468,4.95526,1.02654,4.69E+07
4.52E+00,2.35E+01,10.33463479,4.95682,1.04247,4.78E+07
4.53E+00,2.35E+01,10.4946482,4.9585,1.05825,4.86E+07
4.54E+00,2.35E+01,10.65388301,4.9603,1.07391,4.94E+07
4.55E+00,2.34E+01,10.81267107,4.96223,1.0895,5.02E+07
4.56E+00,2.34E+01,10.97133261,4.96429,1.10503,5.11E+07
4.57E+00,2.34E+01,11.13017113,4.96647,1.12053,5.19E+07
4.58E+00,2.34E+01,11.28946885,4.96878,1.13604,5.27E+07
4.59E+00,2.34E+01,11.44948257,4.97119,1.15158,5.36E+07
4.60E+00,2.34E+01,11.61044028,4.97372,1.16718,5.44E+07
4.61E+00,2.34E+01,11.77253829,4.97633,1.18285,5.53E+07
4.62E+00,2.34E+01,11.93593917,4.97901,1.19863,5.61E+07
4.63E+00,2.33E+01,12.10077035,4.98174,1.21451,5.70E+07
4.64E+00,2.33E+01,12.26712357,4.98452,1.23052,5.79E+07
4.65E+00,2.33E+01,12.43505499,4.9873,1.24667,5.88E+07
4.66E+00,2.33E+01,12.60458604,4.99008,1.26296,5.97E+07
4.67E+00,2.33E+01,12.77570508,4.99284,1.2794,6.06E+07
4.68E+00,2.33E+01,12.94836954,4.99555,1.29599,6.15E+07
4.69E+00,2.33E+01,13.1225088,4.9982,1.31272,6.24E+07
4.70E+00,2.32E+01,13.29802752,5.00077,1.3296,6.33E+07
4.71E+00,2.32E+01,13.47480937,5.00324,1.34661,6.43E+07
4.72E+00,2.32E+01,13.65272122,5.0056,1.36374,6.52E+07
4.73E+00,2.32E+01,13.83161743,5.00784,1.381,6.62E+07
4.74E+00,2.31E+01,14.01134437,5.00994,1.39835,6.72E+07
4.75E+00,2.31E+01,14.19174494,5.01191,1.4158,6.82E+07
4.76E+00,2.31E+01,14.37266304,5.01373,1.43333,6.92E+07
4.77E+00,2.30E+01,14.55394785,5.01541,1.45092,7.01E+07
4.78E+00,2.30E+01,14.73545787,5.01694,1.46857,7.11E+07
